NAME,PRICE,RATING,NO OF REVIEWS,URL
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 1000),"1,499",4.3 out of 5 stars,"7,293",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzE5MTYxMzEzMjcwOjE2NjcxMTM3ODA6c3BfbXRmOjIwMDMyNTY1MDQ2OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113780%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26psc%3D1%26smid%3DAGHKR430JFM4U
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),568,4.0 out of 5 stars,"5,707",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-13
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",349,4.1 out of 5 stars,"5,024",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-14
"Bennett Mystic 15.6 inch(39.6cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Blue)",512,4.0 out of 5 stars,"3,690",https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-15
AirCase 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women,999,4.0 out of 5 stars,"1,432",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-16
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.7 out of 5 stars,283,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-17
DEIN KLEIDER Men's Nylon Messenger Bag,305,4.0 out of 5 stars,"3,715",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-18
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,090",4.4 out of 5 stars,"15,646",https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-19
Hammonds Flycatcher Original Bombay Brown Leather Laptop Messenger Bag for Laptop/MacBook up to 15.6 inch|Padded Laptop Compartment|Office Bag,"2,672",4.3 out of 5 stars,"4,184",https://www.amazon.in/Hammonds-Flycatcher-Messenger-Compartment-LB106BR/dp/B07P2TQH78/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1667113780&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-20
Half Moon 36 ltrs Lightweight Waterproof Backpack for Boys Girls Men/Women College Office Laptop School Bags with Rain Cover,699,3.6 out of 5 stars,48,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzE5MTYxMzEzMjcwOjE2NjcxMTM3ODA6c3BfYnRmOjIwMDM1MTgyOTUzNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHalf-Moon-Lightweight-Waterproof-Laptop%2Fdp%2FB08RRP2XZY%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113780%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26psc%3D1
"North zone Sport 34 Litres Stylish Backpack | School College Bag For Boys & Girls | Laptop Bag With USB Charging Waterproof Material, Laptop size upto 15.6 inches Capacity: upto 35 Ltrs",674,3.8 out of 5 stars,41,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTI1MzE5MTYxMzEzMjcwOjE2NjcxMTM3ODA6c3BfYnRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113780%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26psc%3D1
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"1,801",4.4 out of 5 stars,"10,652",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfYXRmX25leHQ6MjAwMjE0Mjc5NzY3MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07BVSSMQT%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26psc%3D1
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,"1,358",4.2 out of 5 stars,"1,268",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfYXRmX25leHQ6MjAwNDE2OTU2NzYzMDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7DTWLF%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26psc%3D1
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,898,4.1 out of 5 stars,728,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-19
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),699,3.8 out of 5 stars,"1,308",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-20
Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black),999,4.3 out of 5 stars,"2,156",https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-21
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,3.9 out of 5 stars,"8,074",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-22
Sfane Polyester 23 Cms Duffle Bag(BG - 05 HALF BLACK LT SHOE COMPTT_ Grey),397,4.3 out of 5 stars,"5,439",https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-23
"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag college bags",689,3.7 out of 5 stars,464,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-24
TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (Grey) 1 Year Warranty,"2,499",4.4 out of 5 stars,"5,967",https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-25
Half Moon Curiosity 35L Travel Laptop College School Backpack Water Resistant Slim Durable Fits 15.6 Inch Laptop Notebook with Rain cover (Navy Blue),849,3.8 out of 5 stars,113,https://www.amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-26
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Navy Blue),"1,424",4.3 out of 5 stars,"7,293",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfbXRmOjIwMDMxMzA3NTc2MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MCRFH6N%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26psc%3D1%26smid%3DAGHKR430JFM4U
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),699,3.9 out of 5 stars,"13,324",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NTY1OTY2Mjc2NzI1MzE4OjE2NjcxMTM3ODc6c3BfbXRmOjIwMDM1MTgyOTQ3Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667113787%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26psc%3D1
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,211",4.5 out of 5 stars,"5,157",https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1667113787&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-29
